target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
none,200,right,,,,,7,13,181,15,,,,,space,0.862555366673,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,left,,,,,7,14,182,3,,,,,space,0.823049647372,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,7,15,183,16,,,,,space,1.26789752608,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,7,16,184,20,,,,,space,1.19666102815,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,7,17,185,14,,,,,space,1.02713620027,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,,,,,7,18,186,9,,,,,space,1.15867030586,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,7,19,187,2,,,,,space,0.915804313118,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,7,20,188,23,,,,,space,0.799210723709,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,7,21,189,17,,,,,space,0.836913560243,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,7,22,190,1,,,,,space,0.965051354292,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,7,23,191,18,,,,,space,0.790546703561,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,8,0,192,17,,,,,space,1.74879649509,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,8,1,193,8,,,,,space,1.02158807893,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,8,2,194,18,,,,,space,1.09732682506,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,right,,,,,8,3,195,15,,,,,space,0.853635308398,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,8,4,196,11,,,,,space,0.79499587238,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,8,5,197,14,,,,,space,0.984898290146,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,8,6,198,6,,,,,space,0.847768361622,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,8,7,199,22,,,,,space,1.11210384281,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,8,8,200,0,,,,,space,0.844200869104,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,8,9,201,20,,,,,space,1.0530434734,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,8,10,202,1,,,,,space,0.922991818793,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,left,,,,,8,11,203,19,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,,,,,8,12,204,21,,,,,space,1.28177247388,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,8,13,205,16,,,,,space,1.15999184254,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,8,14,206,23,,,,,space,1.0459190344,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,8,15,207,2,,,,,space,0.959541017085,2014_II_03_1726,303.819230038,ior,001,Ivan,
